platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0GHFFR83H,"TECHZONE Premium Leather RFID Credit Card Wallet – Slim Protective Wallet with RFID‑Blocking, Multiple Card Slots & Cash Pocket – Stylish Minimalist Design (Brown)",Brand: TECHZONE,Electronics > Mobile Phones & Communication > Accessories > Adhesive Card Holders,EGP139.00,,,3.7,,,,,https://m.media-amazon.com/images/I/81J6hkgsJIL._AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GHFFR83H,2026-03-29T10:53:40.854194
amazon,B0GKZ84WDD,"The INKEY List Clearer Skin Starts Here Set , Salicylic Acid Cleanser 60ml - Succinic Acid treatment 15ml -Omega Water Cream 50ml -12 Pimple Patches.",Brand: The INKEY List,Beauty > Skin Care > Face > Facial Kits,"EGP4,499.00",,,,,,,,https://m.media-amazon.com/images/I/2199cTV6neL._AC_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GKZ84WDD,2026-03-29T10:54:05.906373
amazon,B0GPXVRYQL,موديل زهره - اسدال صلاه - خامه VESCOSE مستورد معالج ضد التكماش - من القماش الساده متداخل مع قماش مشجر - المقاس فرى ساز - اللون كافيه,Brand: Generic,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Nightwear > Nightdresses & Nightshirts",,,,,,,,,https://m.media-amazon.com/images/I/71SE-MheSuL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GPXVRYQL,2026-03-29T10:54:51.833432
amazon,B0GQ68M1NG,Multifunctional Touch In Ear Bluetooth Earphones Compatible with All Mobile Phones and Dual Systems Wireless,Brand: Generic,"Electronics > Headphones, Earbuds & Accessories > Headphones & Earbuds > In-Ear Headphones",EGP550.00,,,,,,,,https://m.media-amazon.com/images/I/41tc3N8ZMyL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GQ68M1NG,2026-03-29T10:54:55.789347
amazon,B0GRK5MCWR,بطارية 18650 قابلة للشحن - 3.7 فولت قابلة للشحن للأجهزة المحمولة | مع علبة شفافة,Brand: Generic,Electronics > Household Batteries & Chargers > Rechargeable Batteries,EGP320.00,,,,,,,,https://m.media-amazon.com/images/I/41lipk3aPeL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GRK5MCWR,2026-03-29T10:55:18.183774
amazon,B0GSN2KPP9,"Nesmah Store Car Cleaning Wipes, Car Glass Cleaning Wipes, Dashboard and Leather Seat, Car Care Dust Remover (2 Pack / 60 Wipes)",Brand: Generic,"Health & Household Products > Home Care & Cleaning > Tissues, Toilet Paper & Sprays > Moist Wipes",EGP99.00,,,,,,,,https://m.media-amazon.com/images/I/61XuTcOqfqL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GSN2KPP9,2026-03-29T10:55:52.226949
amazon,B0GSPMMN2J,"Connected case Fingerprint sensor, compatible with Oppo Reno8 4G fingerprint-resistant back cover. The case comes in black with a charging port (Black)",Brand: Generic,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Dry Bags,EGP90.00,,,,,,,,https://m.media-amazon.com/images/I/71FuDlpaopL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GSPMMN2J,2026-03-29T10:55:54.675473
amazon,B0GT2SZ8ZB,"Dyed White Pine Cones, Suitable for Christmas Decoration DIY Production of Bulk Crafts (1.96-2.36 inchesï¼ˆ12pcsï¼‰)",Brand: generic,Arts & Crafts > Scrapbooking & Stamping > Embellishments,,,,,,,,,https://m.media-amazon.com/images/I/71BzLBn5InL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GT2SZ8ZB,2026-03-29T10:56:24.053777
amazon,B0BWYXQLXN,Lasso Womens Bask Ultra Support Cup D Bra Bra,Brand: Lasso,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Bras > Everyday Bras",,EGP289.00,,4.0,,,,,https://m.media-amazon.com/images/I/71EsZi1cCzL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0BWYXQLXN,2026-03-29T10:57:37.716131
amazon,B0G2MW2R34,Boxi 1 Year Accidental Damage Service Contract for Portable Electronics Products (from EGP2001 to EGP2500) (Email Delivery to your Amazon Email ID | No Physical Delivery),Brand: Boxi,Electronics > Warranties,EGP243.00,,,,,,,,https://m.media-amazon.com/images/I/41sSdpQwBSL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G2MW2R34,2026-03-29T10:57:57.598246
amazon,B0D322XV9J,"Premium Apple Leather iPhone Cases - Luxury Phone Case - Elevate Your iPhone with Timeless Elegance and Protection(Black,iPhone 15 Plus)",IZONE,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Basic Cases,EGP800.00,,,2.9,,,,,https://m.media-amazon.com/images/I/61WZWyT+ccL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0D322XV9J,2026-03-29T10:58:30.193155
amazon,B09NY876LK,"Premium Apple Leather iPhone Cases - Luxury Phone Case - Elevate Your iPhone with Timeless Elegance and Protectionfor (iPhone 13, Black)",IZONE,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Basic Cases,EGP575.00,,,2.9,,,,,https://m.media-amazon.com/images/I/61VNCZ8iUNL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NY876LK,2026-03-29T10:58:40.742174
amazon,B0DGQ8TJGD,Showday Women's Plus Size Shapewear Shorts Tummy Control Mesh Shape Panties High Waisted Control Pants Butt Lifter Body Slimmer Body Shaper Shorts Shapewear Underwear,SHOWDAY,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Shapewear > Control Panties",,EGP499.00,,3.4,,,,,https://m.media-amazon.com/images/I/41CipzA2o8L._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0DGQ8TJGD,2026-03-29T10:59:04.121092
amazon,B0DX8K8GYX,"Thank You Cards - 9 x 6 cm, Pack of 50. (Bristol White 200 GSM)",Brand: Generic,Office Products > Office Paper Products > Cards & Card Stock > Greeting Cards,EGP74.99,,,3.4,,,,,https://m.media-amazon.com/images/I/518VXsB7HBL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0DX8K8GYX,2026-03-29T10:59:22.731524
amazon,B0F9VKVRVH,Carina Women Cookies Bralette,CARINA,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Bras > Everyday Bras",,EGP112.00,,4.5,,,,,https://m.media-amazon.com/images/I/41yNuD3qDCL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0F9VKVRVH,2026-03-29T10:59:53.251375
amazon,B0BST8VPNC,MB3 Womens W3001 Base Layer Bottom (pack of 1),Brand: MB3,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,4.1,,,,,https://m.media-amazon.com/images/I/51mWgqJGv7L._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0BST8VPNC,2026-03-29T11:00:18.423896
amazon,B0BSTBM66V,MB3 Womens W3001 Base Layer Bottom (pack of 1),Brand: MB3,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,4.1,,,,,https://m.media-amazon.com/images/I/51EmHnMgiTL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0BSTBM66V,2026-03-29T11:00:20.697566
amazon,B0BST9XBGW,MB3 Womens W3001 Base Layer Bottom (pack of 1),Brand: MB3,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,4.1,,,,,https://m.media-amazon.com/images/I/51zVDKmoHLL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0BST9XBGW,2026-03-29T11:00:28.565884
amazon,B0FWRRXQC8,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/41cq+VtBk8L._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRRXQC8,2026-03-29T11:01:04.802443
amazon,B0FZT5XFTB,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/51Ft5PtQ+uL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FZT5XFTB,2026-03-29T11:01:11.391263
amazon,B09NMXBXJ9,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/31fyaQ2AVkL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXBXJ9,2026-03-29T11:01:25.491880
amazon,B09NMXPTVG,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/31mAMv6kWKL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXPTVG,2026-03-29T11:01:42.542664
amazon,B0FWRR98H4,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/61qT3ud0vNL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRR98H4,2026-03-29T11:01:45.301717
amazon,B0G3J6L11M,"Women’s Ribbed Seamless Halter Neck Tank Top – Soft Stretch Lycra, No Side Seams, Slim Fit Sleeveless Shirt, Available in Short and Long Styles for Casual & Daily Wear",Dabbagh,Fashion > Women > Clothing > Activewear > Shirts & Tees > Tank Tops,,,,3.5,,,,,https://m.media-amazon.com/images/I/71uU0ljtddL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G3J6L11M,2026-03-29T11:01:59.234522
amazon,B0G3J7JL74,"Women’s Ribbed Seamless Halter Neck Tank Top – Soft Stretch Lycra, No Side Seams, Slim Fit Sleeveless Shirt, Available in Short and Long Styles for Casual & Daily Wear",Dabbagh,Fashion > Women > Clothing > Activewear > Shirts & Tees > Tank Tops,,,,3.5,,,,,https://m.media-amazon.com/images/I/71uPVkMATmL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G3J7JL74,2026-03-29T11:02:02.882752
amazon,B0GH242F4N,"LED Rabbit Model Ballpoint Pen Set, 8 Pens - Multicolor",Brand: Generic,"Office Products > Pens, Pencils & Writing Supplies > Pens & Refills > Ballpoint Pens > Retractable Ballpoint Pens",EGP300.00,,,,,,,,https://m.media-amazon.com/images/I/61V+qFKebzL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GH242F4N,2026-03-29T11:02:13.912305
amazon,B0G2MYR2V6,Boxi 1 Year Accidental Damage Service Contract for Home Improvement Products (from EGP1 to EGP500) (Email Delivery to your Amazon Email ID | No Physical Delivery),Brand: Boxi,Electronics > Warranties,EGP49.00,,,,,,,,https://m.media-amazon.com/images/I/41sSdpQwBSL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G2MYR2V6,2026-03-29T11:02:24.171315
amazon,B0GSPKYVFM,"Connected case Fingerprint sensor, compatible with Oppo Reno8 4G fingerprint-resistant back cover. The case comes in black with a charging port (Gold)",Brand: Generic,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Basic Cases,EGP90.00,,,,,,,,https://m.media-amazon.com/images/I/71B0Xb2YyvL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0GSPKYVFM,2026-03-29T11:02:30.674182
amazon,B09NY8SLSX,"Premium Apple Leather iPhone Cases - Luxury Phone Case - Elevate Your iPhone with Timeless Elegance and Protectionfor (iPhone 13, Brown)",IZONE,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Basic Cases,EGP535.00,,,2.9,,,,,https://m.media-amazon.com/images/I/61qGY3jbFCL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NY8SLSX,2026-03-29T11:02:46.975230
amazon,B0F9VJY6ML,Carina Women Cookies Bralette,CARINA,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Bras > Everyday Bras",,,,4.5,,,,,https://m.media-amazon.com/images/I/41yNuD3qDCL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0F9VJY6ML,2026-03-29T11:03:01.159848
amazon,B0F9VK7G4F,Carina Women Cookies Bralette,CARINA,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Bras > Everyday Bras",,,,4.5,,,,,https://m.media-amazon.com/images/I/5198H-CUseL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0F9VK7G4F,2026-03-29T11:03:03.906665
amazon,B0BSTBBY2Q,MB3 Womens W3001 Base Layer Bottom (pack of 1),Brand: MB3,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,4.1,,,,,https://m.media-amazon.com/images/I/516-8t8jptL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0BSTBBY2Q,2026-03-29T11:03:50.784698
amazon,B0FWRQ7GQZ,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/61qT3ud0vNL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRQ7GQZ,2026-03-29T11:04:08.341184
amazon,B0FWRTVPGL,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/41Ou5ruchZL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRTVPGL,2026-03-29T11:04:15.355088
amazon,B0FWRTQ1JQ,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/41T+B2dOFqL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRTQ1JQ,2026-03-29T11:04:20.763698
amazon,B0FZW8T1MX,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/4172XNz8KqL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FZW8T1MX,2026-03-29T11:04:29.121277
amazon,B0FWRQJ1NK,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/51UoGfqyf3L._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRQJ1NK,2026-03-29T11:04:31.226092
amazon,B0FZW8FDSC,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/51yYcFk375L._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FZW8FDSC,2026-03-29T11:04:37.751439
amazon,B09NMXD3HB,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/519DyWzWz0L._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXD3HB,2026-03-29T11:04:43.839874
amazon,B0FZT8BMZD,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/51Ft5PtQ+uL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FZT8BMZD,2026-03-29T11:04:47.731275
