platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0FF29CTNC,King Kong Shockproof Silicone Phone Case With Lightweight & Flexible Design Anti-Fingerprint And Slip-Resistant Design Fits Samsung Galaxy A01 Core - Clear,,Samsung phone,EGP 47.88,,,1.4,,,,,https://m.media-amazon.com/images/I/411UzKIZK-L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FF29CTNC,2026-03-28T17:21:08.894220
amazon,B0CKN1FTS3,Plastic Back Phone Protection Case Simple Design With Silicone Safety Edges For Samsung Galaxy A01 - Blue Yellow,,Samsung phone,EGP 27.36,,,,,,,,https://m.media-amazon.com/images/I/51t3tsCEhmL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKN1FTS3,2026-03-28T17:21:08.894577
amazon,B0CCGJH81K,Dl3 Mobilak,Dl3 Mobilak,Samsung phone,,,,2.8,,,,,https://m.media-amazon.com/images/I/51DdrVGEaPL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CCGJH81K,2026-03-28T17:21:08.895197
amazon,B0D144CDPN,"Cover Compatible with Samsung Galaxy A55 5G with Camera Protection, TPU Silicone Transparent Slim Shockproof HD Clear Protection Case for Samsung A55",,Samsung phone,EGP 50.00,EGP 56.11,,4.1,List:,,,,https://m.media-amazon.com/images/I/61Xp1wHFtwL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D144CDPN,2026-03-28T17:21:08.895701
amazon,B0CW8RLFG2,"A tempered glass screen to protect the entire phone screen with a black frame, compatible with Samsung Galaxy A71",,Samsung phone,EGP 47.00,,,1.0,,,,,https://m.media-amazon.com/images/I/51dlOpk6wRL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CW8RLFG2,2026-03-28T17:21:08.896103
amazon,B0CKNF4RZ5,Dragon,Dragon,Samsung phone,EGP 47.88,,,2.0,,,,,https://m.media-amazon.com/images/I/51ufCGBqqGL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNF4RZ5,2026-03-28T17:21:08.896512
amazon,B0CKNC34XP,Dragon,Dragon,Samsung phone,EGP 47.88,,,5.0,,,,,https://m.media-amazon.com/images/I/519Q39Es0-L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNC34XP,2026-03-28T17:21:08.896909
amazon,B0CKFHF9H1,"Silicone Phone Case - Black, Compatible With Samsung Galaxy M40 6.3",,Samsung phone,EGP 34.20,,,,,,,,https://m.media-amazon.com/images/I/61BhjBmcEPL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKFHF9H1,2026-03-28T17:21:08.897311
amazon,B0B5VSWDRC,Black Screen for Phone Samsung J5 Prime,,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/41xUZXkp5gL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0B5VSWDRC,2026-03-28T17:21:08.897664
amazon,B0BW4X85GJ,Tempered Glass Screen Protector With Black Frame For Samsung Galaxy A52 / Samsung Galaxy A52S,,Samsung phone,EGP 49.00,,,3.8,,,,,https://m.media-amazon.com/images/I/61JO69c1jhL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BW4X85GJ,2026-03-28T17:21:08.898065
